id,Субъект Российской Федерации,Год,Всего,ЗП,моложе трудоспособного возраста,в трудоспособном возрасте,старше трудоспособного возраста,до 1 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
21,Северо-Западный федеральный округ,2022,13909835,100.4,2268779,8151938,3489118,118820,117590,123867,134331,142377,159352,164539,160063,156534,158552,149179,148471,143303,136478,130335,124988,128001,129513,147388,148206,145652,158245,144824,134919,121868,135922,143217,136093,137333,155584,178012,218915,232213,243756,259275,259342,263079,247125,250384,238112,225056,244580,219870,217693,205901,214123,210055,200505,191800,194911,186384,191989,176370,174259,164095,169872,183679,180043,192338,195408,202287,217477,201753,198746,190748,187486,186880,179063,159096,158167,149606,147950,145492,114183,106483,98874,64969,42968,31694,39886,65529,63854,70107,64975,61686,39939,32145,22568,19973,21284,15184,12685,8899,6858,5039,3714,2549,1608,1122,713,908
22,Республика Карелия,2022,532384,99.3,91510,293919,146955,4234,4096,4462,5057,5354,6190,6444,6531,6297,6606,6202,6304,6344,6116,5782,5491,5586,5789,5266,4918,4441,4376,3915,4036,3869,4134,4174,4288,4337,4955,5822,6993,7833,8273,9117,9201,8856,8859,8934,8820,8333,8419,7986,8296,8016,8389,8209,8160,7589,7487,7497,7267,6616,6544,6502,6931,7088,7400,7877,7883,8889,9184,8718,8650,8273,8034,8026,8111,7121,6863,6605,6216,6457,4655,4515,3687,2174,1624,1169,1724,2869,2431,2775,2535,2358,1697,1346,948,786,809,644,537,401,265,176,144,88,37,29,12,11
23,Республика Коми,2022,734363,99.9,138514,425682,170167,6140,6344,6789,7280,8396,9484,9819,10205,10198,9968,9222,9345,9214,9104,8841,8165,7941,8285,7454,6898,6067,5736,5668,6062,5830,6354,6476,6715,7057,8139,9126,10266,10928,11992,13415,14026,13675,13523,13582,13090,12335,12757,11901,11900,11531,11804,11420,10994,10504,10868,10492,9874,9469,9176,8941,9297,9922,9858,10516,10894,11514,11946,11250,10996,10297,9840,9404,9298,7798,7821,7453,7203,6980,5046,4502,3792,2180,1573,1303,2050,2945,2781,2929,2491,2127,1592,1210,874,836,766,550,457,360,293,198,150,113,67,45,24,37
24,Архангельская область,2022,1016030,96.9,185226,564960,265844,8258,8506,9339,10234,11145,12618,12857,13013,13024,13088,12645,12671,12553,12120,12074,11081,11388,11415,10371,10243,9535,8302,7913,8527,8079,8449,8622,8339,8293,9442,11468,13543,14837,16439,17713,17615,16859,16808,17725,17283,16148,16747,15818,16112,15922,16279,15994,14854,13812,14050,13056,12887,12080,11889,12101,12736,13230,13083,14110,14349,15592,16193,15413,15376,14871,14818,15160,14939,12906,12847,12159,11219,11562,7955,7951,7165,4059,2784,2294,3459,5575,4951,5190,4495,4122,2760,2341,1722,1596,2001,944,581,384,314,211,188,116,54,41,16,15
25,Ненецкий автономный округ,2022,41426,99.0,9347,24539,7540,446,471,468,547,550,698,710,608,615,677,571,632,630,597,585,542,575,531,502,426,415,367,358,378,450,396,446,453,432,506,598,668,718,756,842,780,824,716,735,779,689,761,704,716,645,600,637,569,502,531,496,523,454,419,431,521,544,463,521,513,539,563,514,497,466,496,446,428,376,358,304,275,297,227,196,144,80,68,59,119,120,90,103,95,69,62,38,29,39,21,20,12,8,5,9,7,3,3,2,0,2
26,Архангельская область без автономии,2022,974604,96.5,175879,540421,258304,7812,8035,8871,9687,10595,11920,12147,12405,12409,12411,12074,12039,11923,11523,11489,10539,10813,10884,9869,9817,9120,7935,7555,8149,7629,8053,8176,7886,7861,8936,10870,12875,14119,15683,16871,16835,16035,16092,16990,16504,15459,15986,15114,15396,15277,15679,15357,14285,13310,13519,12560,12364,11626,11470,11670,12215,12686,12620,13589,13836,15053,15630,14899,14879,14405,14322,14714,14511,12530,12489,11855,10944,11265,7728,7755,7021,3979,2716,2235,3340,5455,4861,5087,4400,4053,2698,2303,1693,1557,1980,924,569,376,309,202,181,113,51,39,16,13
27,Вологодская область,2022,1138424,102.6,220736,630828,286860,10314,10676,11039,12169,13281,15488,16090,15821,16093,16353,15166,14095,14026,13934,13506,12685,12046,12183,11456,10813,9762,9636,8937,9454,9192,9916,10458,10874,11692,13176,13996,15512,17022,18188,19860,19540,19296,19135,19807,19474,18392,18505,17476,17304,16642,16686,16108,15556,14762,14661,14055,13794,13096,12879,13329,14279,15111,15858,16267,16544,17660,18448,18098,17344,16905,16021,16207,15730,13546,13274,12587,12017,12410,8082,7548,6998,3770,2573,1989,3296,6258,4991,5640,4683,4199,2728,2420,1674,1518,1555,1336,1081,697,539,355,299,191,128,64,48,52
28,Калининградская область,2022,1030979,99.7,183973,603185,243821,8960,9298,9692,10796,11389,12895,13083,13092,12837,12758,12119,11791,11728,11835,11347,10353,10423,10388,11049,12721,11122,11423,10833,10577,9595,10551,11078,10059,10686,11760,13955,16799,17156,17919,18243,18168,18582,17995,17496,16760,16370,17826,15483,15483,15033,15077,15166,14197,14529,14573,14071,14360,12875,13053,12125,12123,13069,13330,13877,14093,14601,15609,14306,14283,13206,13270,13102,12595,11590,11437,11311,10649,10494,8458,7510,6229,3874,2786,2435,3323,4489,4506,4601,4126,3795,2722,2042,1292,1217,1238,891,855,637,457,351,264,161,111,70,33,29
29,Ленинградская область,2022,2006022,101.4,280124,1221888,504010,14416,13876,15134,16905,17366,18977,20319,18840,18514,18805,17887,20227,19047,17400,16280,16131,16990,16227,17783,19408,20770,24067,23152,21474,19136,22078,23596,21823,22156,25189,28160,36575,37636,37823,39701,42023,43838,37267,37629,35364,32917,40096,32891,33425,28979,31167,32313,28560,26830,27333,25553,27695,24835,24696,21951,22885,27794,24212,27317,27595,28965,32819,29261,30356,27383,29390,27822,26569,23821,23995,21739,22793,21419,16321,14778,12789,8796,5665,4526,6055,9340,8999,9804,8884,8142,5514,4510,2954,2725,2903,1928,1728,1232,967,763,500,350,192,136,82,74
30,Мурманская область,2022,665240,99.4,127773,397484,139983,6185,6584,6842,7409,7726,8505,8797,8883,8734,9025,8618,8662,8237,8240,7922,7404,6657,6858,6416,6638,6574,6434,5716,6174,6055,6672,6770,6902,6658,7599,8754,9949,10945,12121,12676,12932,12498,12381,12417,11714,10990,11575,11139,11260,10874,10967,10677,10560,10127,10107,9538,9366,8763,8408,8056,8229,8389,8545,8760,8968,9334,9487,8934,8444,7960,7657,7685,7536,6814,6655,6246,5783,5883,4373,3922,3575,2094,1592,1166,1659,2737,2299,2387,2138,1951,1335,1052,705,498,567,299,260,184,155,110,67,52,25,16,17,6
