id,Субъект Российской Федерации,Год,Всего,ЗП,моложе трудоспособного возраста,в трудоспособном возрасте,старше трудоспособного возраста,до 1 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
59,Кировская область,2019,1209585,104.1,208350,630456,370779,11374,12513,14457,15170,14103,14295,14215,13137,13981,13690,13533,12736,11878,11316,11358,10594,10552,9716,9446,8415,8981,8383,9198,9947,9943,10314,11411,13212,15884,17179,17626,18910,20146,19607,19151,20532,18823,18382,19277,17822,18342,17168,18180,17786,16981,16035,15966,15406,15470,13986,14091,13864,15003,15927,16625,18437,18995,21188,22875,22578,22561,21817,20304,20733,20048,17376,17671,16604,16045,15558,11771,11626,9582,4820,3152,2528,4576,8187,7898,8954,7947,7493,5322,4810,4188,3754,3879,3231,2870,2183,1861,1205,1087,651,473,283,182,95,54,36,60
60,Нижегородская область,2019,3189099,102.4,550080,1727806,911213,31918,34150,38466,40013,38455,38279,38376,36079,34386,34721,33997,31947,29964,29696,29928,29705,28711,26279,27691,25585,28059,26908,28795,30621,31168,30986,35687,40520,48068,51191,53314,56826,56620,55188,52439,54040,49200,48181,50060,46771,48077,45239,45951,46571,44020,42062,42786,42267,43475,40012,38192,37503,39198,41286,41798,44536,45979,49217,53197,52109,52410,49957,47671,47283,46043,41009,40437,38851,38523,38478,29973,28426,25895,15498,11585,9441,13076,21452,21145,22103,21319,20781,15336,13525,10852,8494,9170,6922,6503,5205,4492,3330,2546,1845,1279,756,466,224,123,66,146
61,Оренбургская область,2019,1909862,103.9,372511,1034569,502782,20247,20719,24029,25291,26081,26269,26497,24983,25684,24569,23510,22453,20025,20176,20870,21108,20356,18856,18393,17073,18239,17373,18390,19411,20352,20040,20769,23118,25901,28164,29691,31408,32548,32439,30171,30905,28774,28595,30137,28112,27152,26531,26934,27133,25443,24359,24997,24272,24246,23185,23456,23006,24054,25471,26055,28651,29435,31420,32349,30982,30795,28642,27171,27125,26182,22568,22818,22230,19272,18789,16596,15601,13624,6978,4998,5409,7970,11397,11979,13129,11826,10924,9213,6519,3527,3117,3562,3324,3422,2733,2332,1827,1288,856,514,332,147,94,68,20,87
62,Пензенская область,2019,1308089,101.9,209033,706403,392653,10939,11599,13366,13983,14536,14136,14217,13400,14033,14000,13765,12794,11936,11970,12375,11984,11428,11162,11120,11264,11035,10607,11283,12432,12657,13471,14762,16829,19226,20534,21448,22003,21635,21619,20367,20601,19110,18878,20318,18691,18950,17926,19006,18555,17670,17245,17748,17531,17820,16725,16372,16727,17203,18420,18367,19985,20249,21009,22930,22093,21600,20536,20483,20250,19326,17737,18164,17272,17255,17504,14545,13446,10547,6023,4396,4338,7476,10628,10483,10423,9057,7703,6535,4684,3504,2785,3276,2649,2542,2150,1887,1430,1105,774,583,423,223,102,65,37,99
63,Самарская область,2019,3206783,103.3,556719,1763893,886171,32907,34346,39821,40724,39969,39278,38736,36457,34117,33538,34035,31957,30078,29894,30593,30269,29023,26252,27417,26029,26966,26388,28641,31078,32687,34214,39764,43259,48659,51018,54123,56855,57590,55548,54591,54664,50314,48786,50598,48210,47807,47074,48283,48610,46411,44792,45516,44295,45699,40507,39167,38060,39495,40739,41475,44666,45498,47784,51098,47028,46575,46164,43681,44623,45179,41054,41486,39833,38315,38992,32972,30268,27390,16150,11389,11021,15110,22213,21872,22601,21368,18890,14959,10979,6617,6065,6499,5960,6146,4803,4223,3158,2311,1666,1026,665,276,312,166,46,363
64,Саратовская область,2019,2490750,109.7,409422,1380010,701318,22318,23458,26758,28198,28487,28292,28360,26632,25551,26107,26581,25636,22520,23340,23575,23609,23910,22718,23996,22993,23179,21751,24669,26558,26290,27161,30825,34776,39625,40134,40821,42307,41523,41367,39959,40275,38007,36358,38849,37000,35676,34991,36648,36661,34755,33078,34034,33013,34758,32452,32925,30733,32152,33997,34049,37040,36866,38160,39820,37303,36501,35157,35326,35449,35071,31162,30951,29431,29636,29760,26118,22706,21690,13661,9011,9540,13240,19371,18974,19561,18195,16118,12701,9606,5593,4301,5169,4331,4613,3733,3119,2438,1720,1186,821,588,240,113,107,45,113
65,Ульяновская область,2019,1229362,103.3,204743,663559,361060,11901,12421,14316,14705,14725,14525,14536,13570,12800,12769,12813,11676,10926,10754,11160,11146,10855,10005,10296,10008,10601,10011,11355,11981,13170,13257,14753,16003,18711,19523,20591,20970,20736,19599,19530,19274,17411,17273,17011,16197,16954,16740,16970,16407,15950,15817,16278,16235,16451,15408,15401,15590,16665,17908,18478,19974,20733,21563,22476,20874,20416,20389,19171,18806,18749,16612,16098,15356,14794,14940,12947,11619,9964,5346,3857,4182,5996,8882,8651,8680,8240,7598,6057,4422,2965,2618,3012,2504,2527,1922,1640,1188,890,593,375,278,128,89,41,25,59
66,Уральский федеральный округ,2019,12342117,102.9,2520624,6840245,2981248,146440,154317,173014,180679,183061,181613,182313,171564,160231,156121,155783,146350,133739,133162,133202,129035,124653,116172,118023,110303,112710,105947,115534,123174,127764,127133,145953,163031,189309,197968,212245,224690,227123,222786,214919,219549,205507,194624,202825,188803,188698,183122,185539,185450,176245,167171,167473,159860,162115,148566,145409,137956,142817,151107,152111,167419,171035,179417,190561,178098,176302,167749,162879,163705,160448,142097,143789,136046,127180,126109,95653,92349,79831,47158,30729,29776,40719,62647,65856,69996,65111,57632,45420,36977,25888,20731,22821,19307,18373,14609,13049,9166,7279,4871,3488,2103,1080,693,358,150,455
67,Курганская область,2019,810543,104.1,159103,406835,244605,8588,9313,10383,11161,11364,11784,11728,10841,9766,9673,10605,9921,8570,8636,8527,8243,7885,6972,6822,6170,6052,5319,6149,6564,6955,6940,7780,8993,10160,10461,11191,11982,12232,11696,11575,12020,11306,10920,11491,10878,11524,11074,11060,11127,11049,10381,10813,10463,10446,9858,9760,9287,9969,10680,10867,12435,13095,13761,14179,13445,13850,13596,13510,13679,12756,10824,12278,11486,10162,10242,7851,7386,6815,3559,2336,2357,3298,5448,6197,6529,6158,4773,4111,3143,2144,1864,2118,1721,1764,1532,1250,871,782,482,352,167,108,67,24,27,37
68,Свердловская область,2019,4315195,103.1,842701,2345927,1126567,50041,53067,59397,61685,62186,61570,61075,57641,51807,49732,51035,47955,43071,43931,44459,44049,42952,40355,42559,39361,38923,36495,40190,41667,42772,42563,47896,54036,65056,67603,71990,76231,77871,77069,72465,74980,69479,66475,70872,65426,65721,63668,65406,65836,61995,57962,58040,55047,56429,50652,49563,45929,48561,51805,51059,56655,57071,60623,65877,61892,62522,58402,59610,59873,60152,54227,54172,51630,50223,50004,37222,36959,31944,19142,11738,11771,16546,25699,26195,28284,26385,23785,18085,15323,10846,8712,9444,8010,7399,5852,5351,3691,3019,1899,1398,858,389,315,135,56,150
69,Тюменская область,2019,3738524,103.0,840591,2197371,700562,50293,52036,57014,59765,60392,59666,60013,56104,54828,53489,51562,48850,45893,44954,43955,41777,39827,36701,36634,34508,35397,33872,37090,40397,40974,41189,45890,51263,60156,63622,68560,74498,75943,74389,72270,73176,69866,64574,66129,61691,60652,58087,58951,58262,55121,51993,52346,49968,50411,46757,45992,43979,45213,48041,48216,52451,53383,55067,57318,52840,50651,47445,43439,42554,40862,35247,33853,31276,27918,27044,19842,18512,15353,8869,6183,5773,7323,10862,11131,11719,10381,9275,7236,5812,4254,3730,3720,2947,2766,2171,1883,1262,988,692,533,321,185,92,55,23,87
70,Ханты-Мансийский авт. округ – Югра,2019,1672251,103.0,387724,1009823,274704,22649,23296,25926,27074,27903,28143,28177,26108,25120,24154,23436,22413,21267,21096,20949,20013,18697,17484,17030,15695,16045,15034,16786,18265,18889,18690,19889,22336,26503,28227,30617,33594,34104,33835,32819,33330,32138,29977,31472,28947,28536,27028,27598,27568,25662,24059,24434,23649,23879,22005,21390,20474,21042,22534,22221,24229,24228,25041,26302,23406,22580,20460,18765,17277,16530,13915,13209,11802,10934,9794,7463,6389,5207,3071,2180,2003,2451,3346,3385,3334,2936,2617,1907,1596,1057,886,783,657,620,433,387,276,194,129,105,61,39,23,17,7,14
71,Ямало-Ненецкий автономный округ,2019,510666,102.2,118248,326880,65538,6707,6880,7613,8158,7907,7843,8153,7542,7906,7902,7528,7224,6874,7034,6771,6206,5729,5328,5174,4845,5014,4553,5149,6122,6027,5861,6368,6766,7987,8495,9495,10605,10858,10679,10368,10658,10138,9805,10294,9527,9564,8919,9315,9320,8946,8663,8772,8261,8206,7528,7521,6824,6939,7520,7051,7490,7542,7508,7312,6610,6076,5421,4650,4339,3887,3218,2943,2564,2313,2088,1470,1306,1014,626,467,347,422,556,529,529,415,388,236,194,127,119,140,61,70,52,58,40,31,21,18,8,5,5,4,0,5
72,Тюменская область без автономий,2019,1555607,104.3,334619,860668,360320,20937,21860,23475,24533,24582,23680,23683,22454,21802,21433,20598,19213,17752,16824,16235,15558,15401,13889,14430,13968,14338,14285,15155,16010,16058,16638,19633,22161,25666,26900,28448,30299,30981,29875,29083,29188,27590,24792,24363,23217,22552,22140,22038,21374,20513,19271,19140,18058,18326,17224,17081,16681,17232,17987,18944,20732,21613,22518,23704,22824,21995,21564,20024,20938,20445,18114,17701,16910,14671,15162,10909,10817,9132,5172,3536,3423,4450,6960,7217,7856,7030,6270,5093,4022,3070,2725,2797,2229,2076,1686,1438,946,763,542,410,252,141,64,34,16,68
73,Челябинская область,2019,3477855,102.4,678229,1890112,909514,37518,39901,46220,48068,49119,48593,49497,46978,43830,43227,42581,39624,36205,35641,36261,34966,33989,32144,32008,30264,32338,30261,32105,34546,37063,36441,44387,48739,53937,56282,60504,61979,61077,59632,58609,59373,54856,52655,54333,50808,50801,50293,50122,50225,48080,46835,46274,44382,44829,41299,40094,38761,39074,40581,41969,45878,47486,49966,53187,49921,49279,48306,46320,47599,46678,41799,43486,41654,38877,38819,30738,29492,25719,15588,10472,9875,13552,20638,22333,23464,22187,19799,15988,12699,8644,6425,7539,6629,6444,5054,4565,3342,2490,1798,1205,757,398,219,144,44,181
74,Сибирский федеральный округ,2019,17077314,104.2,3460865,9372764,4243685,194966,206850,231559,240747,244605,246874,248463,233102,221694,221781,221992,206430,184819,186006,185253,185724,176139,163403,167641,156559,160041,153235,165325,175304,180310,183717,209265,234296,266240,276806,283877,296138,301709,294878,288022,300024,292823,271455,276691,259063,255482,246010,250438,246961,239259,228153,227805,215610,216109,198462,192289,184540,190710,200666,204865,225840,234509,249274,265318,253100,253403,246083,234410,233054,224780,200906,198641,189909,181701,174685,145887,133915,108797,66867,46996,43798,59287,86749,96883,98823,90360,83966,63552,50481,40077,32389,32474,27029,27159,22191,18741,14006,10161,7189,5102,3250,1833,887,611,245,811
75,Республика Алтай,2019,210940,105.4,59308,111370,40262,3155,3224,3608,3749,4105,4139,4319,4359,3953,3985,4110,3768,3179,3410,3307,2938,2630,2511,2224,2027,2191,2093,2202,2369,2499,2219,2110,2089,2448,2761,3405,3597,3488,3395,3370,3727,3458,3399,3024,3086,2954,3092,3031,2914,2968,2591,2749,2497,2395,2254,2207,2223,2276,2283,2351,2533,2625,2866,2920,2822,2833,2726,2564,2466,2369,1993,1918,1841,1691,1566,1197,1074,872,499,293,291,416,616,708,670,657,567,432,361,341,301,290,211,227,222,174,113,96,55,49,30,18,6,2,1,3
76,Республика Тыва,2019,326901,106.8,111619,178007,37275,6500,6922,7221,7270,7714,7763,7966,8126,7676,7724,7467,7205,5686,5596,5648,5135,4644,4082,3444,3303,3293,3089,3849,4363,4690,4810,4173,4586,5263,5421,5776,5975,5959,5332,5310,5409,5135,4813,4509,4824,4356,4237,4389,4071,4186,4192,4089,4099,3994,3730,3672,3606,3690,3530,3445,3342,3314,3116,3226,2848,2565,2354,2197,1899,1873,1549,1384,1464,1348,1333,1240,1027,980,672,573,690,682,706,663,590,471,343,301,222,168,133,150,95,129,84,61,55,30,24,14,15,3,2,2,3,4
77,Республика Хакасия,2019,539700,101.6,119401,291325,128974,6383,6867,7669,8184,8333,8484,8687,8105,8219,8155,8054,7341,6260,6266,6163,6231,5566,5210,5074,4394,4303,4023,4596,5045,5313,5565,6203,6991,8173,8562,8885,9651,9634,9451,9411,9635,9627,8887,9084,8352,8339,8132,8326,8151,7503,7507,7036,6455,6701,5830,5848,5579,5586,6131,6147,6905,7167,7484,8290,7896,7794,7501,7416,7310,7335,6762,6869,6057,5855,5740,4456,3651,2934,1831,1230,1229,1849,2465,2681,2613,2366,2123,1712,1331,968,861,923,719,794,588,534,411,291,167,134,55,33,16,20,8,19
78,Алтайский край,2019,2250096,104.9,440154,1190012,619930,23274,25347,28340,29525,30768,31431,32016,29790,28261,27973,29601,27036,23632,24155,24490,24515,22533,21009,22788,20922,20785,19982,21281,22442,23479,23785,27936,30348,32622,34444,33584,33762,34068,34111,33738,35945,34621,32583,34201,31503,31637,30509,31399,31899,31931,30436,30462,28887,28586,25636,24890,24033,25281,26345,26889,30326,32562,36061,38987,38176,39059,38497,34931,34921,31997,29174,27342,27526,26655,25284,22812,20235,15144,9076,6134,5876,7710,12184,14079,14634,13594,12116,8888,7169,5990,4752,4674,4191,4236,3593,3151,2295,1589,1167,752,487,283,137,71,28,105
79,Красноярский край,2019,2879193,104.2,571328,1627264,680601,33388,35303,39624,40968,40772,40685,40738,37833,36498,36114,35404,32958,29644,30950,29646,30803,29774,27602,28541,26458,27756,26396,29214,31187,32622,32623,38319,42706,48273,48696,49200,51439,53751,52358,49824,51957,51118,47569,48003,45533,44721,42413,43390,43463,41193,38249,38452,36877,37526,34589,32773,31413,32641,34519,35147,38397,38742,40860,42711,40177,39846,38448,36881,37268,37416,33163,32810,30693,29500,28145,23300,21051,17267,11049,7730,7171,9980,14788,16195,15838,14224,13109,9967,7843,5876,4643,4836,3978,3831,3204,2556,1948,1375,1008,705,431,261,136,81,42,100
80,Иркутская область,2019,2402358,103.0,523556,1313896,564906,30654,31941,35247,36367,36196,37071,37534,36118,33312,33631,34030,31552,27830,26863,27349,27861,26375,25117,24452,22557,22940,21576,23704,24907,25320,25317,28213,31795,37885,40085,41485,43044,42700,40969,39923,41428,40448,37467,38864,36574,35422,34290,34968,34196,33688,32254,31987,30546,29811,27589,27257,25926,26154,27465,28379,30213,31470,33100,34817,32925,32612,31816,30599,29853,30272,27388,27178,25746,24389,23692,19263,17894,14658,8587,6390,5802,8854,12443,13429,13332,12122,11582,8646,6787,4825,4100,4351,3441,3245,2628,2170,1588,1129,808,639,401,260,91,80,21,89
81,Кемеровская область – Кузбасс,2019,2665302,104.2,522293,1447510,695499,26462,28059,32318,33634,35249,36649,37132,34392,34182,35937,35434,33367,30990,30375,29549,28564,26998,25443,25196,22912,23524,22460,24187,26980,28430,27961,31189,34494,39407,40574,42716,45757,46808,44978,44438,47198,46447,43054,43826,40132,40661,38901,39649,38952,37491,36133,36119,33746,34778,31242,29351,28032,28914,30285,31179,35329,37612,40425,43421,41038,40941,40631,38538,38015,37078,33280,32868,31493,31169,28709,23884,21400,17836,11351,8129,7077,9273,13555,15538,15645,14383,13906,10331,8204,6772,5507,5609,4436,4840,3655,3166,2356,1763,1191,875,594,283,144,91,32,94
82,Новосибирская область,2019,2805820,105.0,529127,1558439,718254,32560,34417,37987,38955,38462,38378,37801,35387,32235,31402,31545,28961,26662,27632,28144,28599,27893,25492,26133,26209,26307,25800,26753,27840,28361,30533,35360,40352,44784,47182,49125,50589,51411,50548,50376,51400,50133,46010,46587,43212,42762,40930,41882,40737,39640,37451,37492,35146,34919,32491,31820,30016,31007,32840,33320,36931,37742,40265,42413,41006,41444,39939,39066,39550,37199,33027,32224,31560,30024,29519,24356,23147,19567,12032,8381,7917,10101,14889,16802,17882,16522,15407,11368,9247,7675,6147,5855,5048,5040,4200,3555,2702,2046,1452,979,676,380,177,130,34,227
83,Омская область,2019,1923601,103.4,377817,1045102,500682,20862,21993,25451,27443,28505,27747,28075,25536,24107,23499,23147,21935,19726,19627,19764,20400,18342,16886,17036,15754,16979,16627,18594,19034,19118,19627,21977,24237,27971,28889,30340,32153,33963,33505,32697,33192,32768,30219,30349,29039,28425,28202,28018,27410,26430,25658,25368,24003,23592,22753,22744,22319,23357,24846,25792,28319,29362,30789,32314,30787,30949,29462,27880,27131,25334,22002,23805,21934,19744,19504,16085,16128,12763,7294,5189,4901,6757,10080,11208,12037,11045,10115,8435,6439,5041,3969,3862,3345,3222,2727,2325,1716,1226,866,593,361,190,118,81,53,84
84,Томская область,2019,1073403,103.4,206262,609839,257302,11728,12777,14094,14652,14501,14527,14195,13456,13251,13361,13200,12307,11210,11132,11193,10678,11384,10051,12753,12023,11963,11189,10945,11137,10478,11277,13785,16698,19414,20192,19361,20171,19927,20231,18935,20133,19068,17454,18244,16808,16205,15304,15386,15168,14229,13682,14051,13354,13807,12348,11727,11393,11804,12422,12216,13545,13913,14308,16219,15425,15360,14709,14338,14641,13907,12568,12243,11595,11326,11193,9294,8308,6776,4476,2947,2844,3665,5023,5580,5582,4976,4698,3472,2878,2421,1976,1924,1565,1595,1290,1049,822,616,451,362,200,122,60,53,23,86
85,Дальневосточный федеральный округ,2019,8096356,104.4,1664082,4618234,1814040,94323,99181,109965,114449,114647,114189,114144,108829,107164,106258,104177,100419,92696,94729,93900,95012,93908,89388,87180,78595,80189,74797,83509,89189,89865,90177,101830,118971,136563,139347,142125,149602,148013,143859,138940,141749,137471,128711,135075,127158,127175,121083,123464,122167,116671,112162,112569,107293,107895,99202,94746,90875,93661,98109,97890,104205,104847,110636,116290,108494,106784,101656,99402,99834,100288,91529,91186,84531,81695,78909,63364,60566,51325,32184,24058,20538,29986,38536,39776,37695,33570,31370,23544,19123,12804,10616,11370,8556,8053,6390,5221,3878,2748,2025,1398,905,470,260,180,72,234
86,Республика Бурятия,2019,979541,102.6,240560,536114,202867,13412,13592,15573,16236,16410,16478,16242,16071,16108,16375,15871,15009,13817,13546,12934,12886,12854,11245,10570,9721,9624,9325,10168,10443,10907,10614,12440,13905,15801,16753,17516,18110,18083,17583,16843,17244,16564,15272,15382,14469,14400,14081,13871,13089,12780,12212,12001,11032,10622,10026,9879,9931,10346,11009,11081,11876,12161,13335,13796,13079,12919,12378,11773,11103,11016,10092,9642,8914,8445,8377,6599,5797,4532,2600,1858,1588,2874,4061,4559,4182,3937,3595,3132,2444,1604,1454,1656,1175,1158,944,789,541,362,276,238,136,75,31,38,14,30
87,Республика Саха (Якутия),2019,971399,102.3,241716,562171,167512,13381,13836,15370,16530,16947,16536,16584,16034,16056,16026,15277,15033,13197,13336,13922,13651,13053,12450,12456,11167,11196,11072,12351,13137,13630,13549,14066,15065,16936,17405,17397,18146,17691,17435,16735,16575,15851,14442,14545,13817,13987,13057,12986,12851,12604,12187,12189,11656,12054,11354,11259,11406,11460,12015,11833,12502,12692,13404,13350,12206,11748,10924,10714,9836,9475,8688,8197,7294,6847,6219,4904,4616,3856,2910,2079,1566,1972,2322,2373,2546,2285,2115,1663,1592,1046,894,866,660,599,462,336,285,173,141,95,55,34,20,22,12,23
88,Забайкальский край,2019,1035087,102.9,232559,585055,217473,12444,13180,14457,15390,15998,15757,15931,15226,15555,15434,15289,14222,13232,13422,13640,13382,13166,12307,11558,10554,11133,10158,10947,11771,12265,12050,13830,15802,17498,17771,18584,19284,18515,17926,17652,18376,18059,16702,17105,16477,15990,15636,15676,15233,14410,13892,13436,12624,12474,11325,10719,10378,10583,11279,11463,12551,12977,13978,14291,14187,14085,13357,12574,12753,12722,11168,10725,9744,9636,9025,6781,6082,5374,2875,1954,1691,3135,4315,4545,4441,3870,3721,2880,2330,1613,1305,1486,1116,1247,928,767,528,388,292,191,125,59,34,18,12,44
89,Камчатский край,2019,299896,105.1,57159,178965,63772,3345,3648,3873,3981,3956,4010,3900,3749,3444,3552,3533,3453,3249,3325,3122,3019,3028,2821,2680,2592,2663,2376,2773,2983,3080,3043,3648,4164,4901,5153,5592,5815,6120,6086,5537,5778,5389,5175,5378,5038,4941,4756,4754,5114,4871,4679,4720,4478,4462,4267,4068,3841,3997,4089,3981,4142,4150,4264,4351,3971,3970,3737,3531,3531,3443,3234,3200,3039,2957,2964,2478,2152,1927,1356,1014,878,1116,1320,1306,1249,991,891,643,490,313,252,225,184,193,120,113,82,41,39,20,8,7,7,4,1,2
90,Приморский край,2019,1886265,106.7,330847,1080094,475324,18896,19746,22042,22965,22732,22941,22996,21606,21049,20722,19791,19815,18106,18818,18586,20036,20706,20348,20041,17104,16901,15550,17569,18985,19169,19805,22581,27760,31560,32063,32014,33914,33336,32383,31708,32338,31471,30144,32042,29851,29989,28709,29406,29749,28667,27798,28153,27207,27563,25191,23785,22791,23743,23888,24535,25331,25606,26481,28398,25634,25387,24733,23918,24695,24793,23056,23578,22015,21340,21149,17847,17793,15241,9815,7532,6651,9050,11794,11883,11187,9634,9391,6331,5270,3522,2818,3127,2263,1864,1498,1240,1010,681,513,331,230,111,63,38,13,46
91,Хабаровский край,2019,1316661,101.6,246272,756825,313564,14990,15483,17166,18498,17868,17520,17333,15948,14928,14746,14155,13531,13294,13468,13236,14108,13774,13551,13541,12736,13750,12536,13678,14521,14048,14225,16653,20346,23948,24055,23795,25227,24985,23867,23112,23067,22273,21060,22631,20809,20733,19815,20524,20073,19116,18286,18568,17778,18102,16393,15460,14571,15010,16134,15627,16486,16381,16971,18257,16778,16166,15407,15576,16413,16935,15502,15799,14927,14816,14321,11889,11626,10185,6397,4915,3853,5993,7437,7557,7055,6381,5857,4451,3504,2367,1985,1977,1591,1524,1231,1018,773,574,398,271,197,98,68,37,12,55
92,Амурская область,2019,786641,106.0,161710,442233,182698,8776,9434,10232,10646,10878,11126,11297,10784,10352,9918,10253,9962,8956,9694,9515,9887,9271,8615,8493,7576,7698,7027,8159,8835,8348,8536,9185,10640,13170,13031,13073,13868,13982,13715,13068,13604,13410,12367,13522,12516,12483,11509,12383,12330,11252,10651,11047,10455,10700,9714,9094,8329,8612,9247,9008,10059,9685,10551,11465,10987,10827,10026,10372,10374,10332,9351,9577,8965,8692,8071,6250,6216,5021,3085,2250,2152,2975,3755,4002,3668,3335,3101,2402,1911,1202,959,1016,820,730,641,519,326,262,180,124,80,40,18,16,4,14
93,Магаданская область,2019,139895,105.9,26119,84006,29770,1419,1559,1623,1701,1774,1817,1852,1754,1621,1659,1649,1578,1498,1549,1607,1459,1410,1266,1245,1195,1203,1119,1230,1419,1268,1492,1611,1827,2035,2126,2412,2561,2523,2559,2566,2685,2569,2473,2687,2643,2599,2396,2493,2373,2436,2313,2257,2267,2210,2043,1909,1817,1826,1886,1979,2158,2101,2132,2150,2104,2127,1897,1834,1772,1861,1595,1661,1506,1359,1395,1052,912,741,430,365,287,408,452,498,429,391,305,194,163,100,64,90,43,74,51,32,32,27,13,14,14,6,5,1,1,2
94,Сахалинская область,2019,476218,108.8,84029,275264,116925,5198,6143,6810,5545,5325,5257,5159,4906,5323,5170,5344,5074,4894,4981,4750,4150,4265,4585,4609,4179,4283,3841,4687,4882,4825,4545,5212,6511,7393,7711,8178,8913,9041,8666,8286,8447,8439,7699,8339,8157,8644,7916,8050,8095,7501,7119,7176,6940,6865,6240,6128,5462,5763,5966,5845,6400,6379,6653,7337,6863,6856,6661,6569,6853,7137,6488,6474,6003,5551,5541,4071,3920,3180,2017,1523,1356,1719,2210,2195,2078,2007,1742,1358,1025,781,678,729,534,488,369,316,220,174,142,84,44,31,10,5,2,13
95,Еврейская автономная область,2019,156655,102.6,31918,87474,37263,1855,1888,2109,2224,2020,2052,2136,2079,1999,1978,2260,2062,1817,1835,1842,1762,1801,1656,1495,1333,1306,1321,1481,1668,1690,1796,1992,2329,2565,2572,2710,2838,2736,2675,2554,2756,2549,2497,2576,2495,2529,2367,2550,2441,2263,2241,2257,2083,2087,1902,1731,1712,1678,1838,1822,1950,2008,2086,2188,2073,2078,1986,2023,2035,2132,1950,2007,1856,1788,1640,1320,1255,1149,637,517,456,678,809,788,812,702,621,467,383,248,203,194,161,175,142,89,81,63,31,30,15,8,4,1,1,5
96,Чукотский автономный округ,2019,48098,102.9,11193,30033,6872,607,672,710,733,739,695,714,672,729,678,755,680,636,755,746,672,580,544,492,438,432,472,466,545,635,522,612,622,756,707,854,926,1001,964,879,879,897,880,868,886,880,841,771,819,771,784,765,773,756,747,714,637,643,758,716,750,707,781,707,612,621,550,518,469,442,405,326,268,264,207,173,197,119,62,51,60,66,61,70,48,37,31,23,11,8,4,4,9,1,4,2,0,3,0,0,1,1,0,0,0,0
1,Российская Федерация,2018,147797071,108.5,27318332,82995127,37483612,1678519,1875038,1939227,1921615,1906585,1917989,1812734,1741158,1719095,1712368,1614954,1485813,1509491,1490396,1515871,1477479,1381205,1463344,1371267,1382726,1329352,1448199,1548322,1535780,1572049,1787838,1983744,2358679,2418582,2493718,2616134,2624951,2610700,2486391,2537155,2391642,2269763,2460007,2238382,2212868,2107968,2173193,2181077,2066877,1982597,2000974,1922792,2026069,1822621,1811513,1728262,1795425,1919722,1907670,2071535,2115054,2207881,2398224,2214390,2200258,2099811,2047009,2033456,1981718,1768628,1775741,1672006,1655192,1632839,1321499,1248244,1101870,683279,481413,438494,626576,928841,967416,1007380,951015,893561,674882,549379,389836,336540,373262,312518,316506,247456,218264,166624,129878,93127,65897,44349,26095,14970,9865,4396,3481,8526
2,Центральный федеральный округ,2018,40078188,108.8,6539878,22540054,10998256,417085,466447,472811,458409,454566,456435,431242,410271,404953,397045,373253,354789,361703,350597,367872,362400,341834,377313,356186,346961,342368,380517,404776,385108,396282,448740,501107,625487,643354,662728,702687,707058,717140,675482,691322,650209,621808,705630,625117,615545,575955,604848,608353,575263,551068,556049,535795,580852,511878,511307,478800,498256,539143,528515,581625,591207,609211,672737,616383,624882,589189,586991,579007,555940,492807,499598,469617,480622,480252,391766,375378,344218,220759,155397,126686,189925,292471,292089,305850,293236,277611,202757,164952,117449,108016,121646,102592,103178,79667,69852,54749,43105,32214,22620,15627,9757,4954,3539,1423,1061,2857
3,Белгородская область,2018,1552936,106.8,261194,861048,430694,15098,17277,17742,17990,18128,18117,17411,16554,16984,17365,16407,15116,14282,14558,14547,13618,12636,13366,12325,12932,12918,14436,16044,17132,17441,19540,20217,23447,23892,25779,26769,27204,26016,25937,25920,24088,22878,23954,22868,22764,21577,22269,22194,21798,20858,21339,20304,20652,18610,18978,19272,20229,20558,21287,23414,24907,25450,26904,25087,25183,24128,23278,22497,22012,19840,20121,18984,18824,20024,15411,12323,11949,6288,5113,5145,8286,11850,11961,12653,12225,10621,8714,6067,3720,3335,4180,3645,4227,3123,2769,2026,1580,1114,889,501,374,148,157,58,55,154
4,Брянская область,2018,1208191,107.0,208126,666260,333805,11918,13886,14564,13367,13593,14196,13684,13195,13803,14185,13404,11536,11837,11775,11720,11463,10974,10533,9901,9825,9784,11007,12066,13286,13149,14789,15013,17665,18412,18887,19878,20817,19498,18985,19334,17662,17338,18667,17442,17647,16369,17012,17474,16820,16327,16562,16153,17156,15559,16040,15659,16453,16976,16650,18233,18826,19656,21246,19618,19751,19071,18361,18050,16887,14763,15377,14816,15015,14779,11138,10078,8451,4887,4642,4081,6232,8484,8471,8863,8632,7937,6753,5039,3210,3335,4078,3056,3775,2679,2407,1727,1268,941,648,404,312,124,76,40,23,56
